"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 04, 2008","2,421.25","2,323.25","2,426.95","2,301.50","599.50M","3.43%"
"Nov 03, 2008","2,341.00","2,318.80","2,350.00","2,288.95","503.89M","5.18%"
"Oct 31, 2008","2,225.70","2,160.30","2,242.95","2,154.75","558.17M","6.06%"
"Oct 29, 2008","2,098.50","2,150.35","2,150.35","2,061.40","630.56M","0.14%"
"Oct 28, 2008","2,095.55","2,063.50","2,102.95","2,063.50","-","6.17%"
"Oct 27, 2008","1,973.70","2,013.30","2,022.70","1,796.90","562.19M","-3.02%"
"Oct 24, 2008","2,035.25","2,237.80","2,240.75","2,002.75","584.08M","-10.95%"
"Oct 23, 2008","2,285.40","2,284.75","2,377.35","2,270.55","451.71M","-3.90%"
"Oct 22, 2008","2,378.20","2,446.65","2,456.95","2,371.55","385.55M","-4.55%"
"Oct 21, 2008","2,491.45","2,438.20","2,504.20","2,414.20","478.06M","3.38%"
"Oct 20, 2008","2,409.90","2,422.00","2,479.95","2,371.10","427.59M","0.98%"
"Oct 17, 2008","2,386.45","2,549.55","2,563.90","2,371.80","422.45M","-5.10%"
"Oct 16, 2008","2,514.70","2,473.60","2,549.90","2,389.55","503.49M","-1.51%"
"Oct 15, 2008","2,553.30","2,633.60","2,634.35","2,545.15","371.17M","-4.91%"
"Oct 14, 2008","2,685.05","2,763.70","2,778.00","2,672.70","450.48M","1.16%"
"Oct 13, 2008","2,654.35","2,559.55","2,665.40","2,559.55","446.91M","5.85%"
"Oct 10, 2008","2,507.55","2,573.35","2,589.95","2,460.45","550.74M","-6.92%"
"Oct 08, 2008","2,693.90","2,683.65","2,709.25","2,561.90","503.80M","-3.48%"
"Oct 07, 2008","2,790.90","2,873.45","2,894.10","2,751.45","466.59M","-0.66%"
"Oct 06, 2008","2,809.35","2,941.40","2,941.40","2,796.35","370.99M","-5.86%"
"Oct 03, 2008","2,984.30","3,049.45","3,075.45","2,974.90","369.66M","-3.20%"
"Oct 01, 2008","3,082.80","3,084.00","3,119.10","3,019.85","372.51M","0.79%"
"Sep 30, 2008","3,058.60","2,914.60","3,087.45","2,914.60","510.87M","1.69%"
"Sep 29, 2008","3,007.90","3,115.00","3,115.00","2,958.15","451.31M","-3.71%"
"Sep 26, 2008","3,123.75","3,205.30","3,205.30","3,112.80","343.21M","-3.04%"
"Sep 25, 2008","3,221.70","3,261.60","3,261.60","3,200.65","489.23M","-1.05%"
"Sep 24, 2008","3,255.95","3,254.80","3,291.85","3,236.80","347.63M","0.68%"
"Sep 23, 2008","3,234.00","3,259.35","3,302.00","3,229.10","351.70M","-2.03%"
"Sep 22, 2008","3,301.15","3,343.45","3,343.45","3,289.70","356.63M","-0.40%"
"Sep 19, 2008","3,314.35","3,241.05","3,323.20","3,241.05","468.12M","4.56%"
"Sep 18, 2008","3,169.75","3,017.50","3,176.60","3,007.60","477.86M","0.02%"
"Sep 17, 2008","3,169.00","3,249.65","3,249.65","3,158.15","365.77M","-1.86%"
"Sep 16, 2008","3,229.10","3,135.00","3,235.85","3,135.00","375.69M","-0.45%"
"Sep 15, 2008","3,243.60","3,274.85","3,274.85","3,159.55","354.93M","-3.98%"
"Sep 12, 2008","3,377.90","3,457.10","3,457.10","3,360.65","333.21M","-1.61%"
"Sep 11, 2008","3,433.10","3,478.50","3,479.70","3,421.65","273.78M","-2.12%"
"Sep 10, 2008","3,507.40","3,532.10","3,559.75","3,494.45","303.80M","-1.49%"
"Sep 09, 2008","3,560.50","3,556.50","3,580.15","3,532.55","248.67M","-0.41%"
"Sep 08, 2008","3,575.05","3,613.30","3,619.80","3,569.60","309.95M","2.46%"
